Vardas         Pavarde        Galutinis(Vid.)     
Vardas237      Pavarde237     5.52                
Vardas238      Pavarde238     5.88                
Vardas239      Pavarde239     6.48                
Vardas24       Pavarde24      6.88                
Vardas241      Pavarde241     6.20                
Vardas244      Pavarde244     6.92                
Vardas245      Pavarde245     6.64                
Vardas246      Pavarde246     7.28                
Vardas247      Pavarde247     6.60                
Vardas248      Pavarde248     7.16                
Vardas25       Pavarde25      5.00                
Vardas251      Pavarde251     7.60                
Vardas253      Pavarde253     6.72                
Vardas254      Pavarde254     5.36                
Vardas255      Pavarde255     8.32                
Vardas256      Pavarde256     5.96                
Vardas257      Pavarde257     7.08                
Vardas259      Pavarde259     5.72                
Vardas26       Pavarde26      5.16                
Vardas261      Pavarde261     5.24                
Vardas262      Pavarde262     5.08                
Vardas263      Pavarde263     6.96                
Vardas264      Pavarde264     8.16                
Vardas265      Pavarde265     5.56                
Vardas266      Pavarde266     5.08                
Vardas269      Pavarde269     5.28                
Vardas27       Pavarde27      8.40                
Vardas273      Pavarde273     5.84                
Vardas276      Pavarde276     7.64                
Vardas277      Pavarde277     5.52                
Vardas278      Pavarde278     6.68                
Vardas28       Pavarde28      5.72                
Vardas281      Pavarde281     7.92                
Vardas282      Pavarde282     5.72                
Vardas283      Pavarde283     7.32                
Vardas284      Pavarde284     5.92                
Vardas285      Pavarde285     5.28                
Vardas287      Pavarde287     8.64                
Vardas289      Pavarde289     5.16                
Vardas290      Pavarde290     5.80                
Vardas293      Pavarde293     5.40                
Vardas295      Pavarde295     5.04                
Vardas296      Pavarde296     7.80                
Vardas297      Pavarde297     6.92                
Vardas299      Pavarde299     5.52                
Vardas30       Pavarde30      7.08                
Vardas301      Pavarde301     5.24                
Vardas304      Pavarde304     5.28                
Vardas305      Pavarde305     7.40                
Vardas307      Pavarde307     8.00                
Vardas31       Pavarde31      7.92                
Vardas310      Pavarde310     5.96                
Vardas311      Pavarde311     6.72                
Vardas312      Pavarde312     5.16                
Vardas313      Pavarde313     8.28                
Vardas314      Pavarde314     7.28                
Vardas316      Pavarde316     6.12                
Vardas317      Pavarde317     6.56                
Vardas318      Pavarde318     7.40                
Vardas32       Pavarde32      7.56                
Vardas321      Pavarde321     7.00                
Vardas323      Pavarde323     7.28                
Vardas325      Pavarde325     5.48                
Vardas326      Pavarde326     7.32                
Vardas328      Pavarde328     6.56                
Vardas329      Pavarde329     5.36                
Vardas333      Pavarde333     5.24                
Vardas335      Pavarde335     5.40                
Vardas337      Pavarde337     7.04                
Vardas339      Pavarde339     6.20                
Vardas34       Pavarde34      5.36                
Vardas340      Pavarde340     7.28                
Vardas341      Pavarde341     9.36                
Vardas343      Pavarde343     6.60                
Vardas344      Pavarde344     6.96                
Vardas345      Pavarde345     7.52                
Vardas348      Pavarde348     6.40                
Vardas349      Pavarde349     7.44                
Vardas35       Pavarde35      5.64                
Vardas350      Pavarde350     6.00                
Vardas351      Pavarde351     6.72                
Vardas352      Pavarde352     7.80                
Vardas353      Pavarde353     6.32                
Vardas354      Pavarde354     5.28                
Vardas356      Pavarde356     6.40                
Vardas357      Pavarde357     6.88                
Vardas358      Pavarde358     6.68                
Vardas359      Pavarde359     7.60                
Vardas361      Pavarde361     7.40                
Vardas362      Pavarde362     6.64                
Vardas363      Pavarde363     8.72                
Vardas364      Pavarde364     7.96                
Vardas365      Pavarde365     9.28                
Vardas366      Pavarde366     6.08                
Vardas367      Pavarde367     6.04                
Vardas368      Pavarde368     6.52                
Vardas369      Pavarde369     7.64                
Vardas37       Pavarde37      8.96                
Vardas370      Pavarde370     6.16                
Vardas372      Pavarde372     8.56                
Vardas373      Pavarde373     7.80                
Vardas374      Pavarde374     5.92                
Vardas376      Pavarde376     7.12                
Vardas378      Pavarde378     5.76                
Vardas379      Pavarde379     5.16                
Vardas38       Pavarde38      7.84                
Vardas381      Pavarde381     5.16                
Vardas382      Pavarde382     8.88                
Vardas383      Pavarde383     6.04                
Vardas384      Pavarde384     7.36                
Vardas385      Pavarde385     7.16                
Vardas386      Pavarde386     7.84                
Vardas388      Pavarde388     7.08                
Vardas39       Pavarde39      5.84                
Vardas390      Pavarde390     5.72                
Vardas391      Pavarde391     8.72                
Vardas395      Pavarde395     7.72                
Vardas396      Pavarde396     5.36                
Vardas40       Pavarde40      7.16                
Vardas402      Pavarde402     7.40                
Vardas403      Pavarde403     5.40                
Vardas405      Pavarde405     8.12                
Vardas406      Pavarde406     6.20                
Vardas407      Pavarde407     5.76                
Vardas408      Pavarde408     5.56                
Vardas411      Pavarde411     7.00                
Vardas414      Pavarde414     7.00                
Vardas42       Pavarde42      7.60                
Vardas421      Pavarde421     7.48                
Vardas423      Pavarde423     7.20                
Vardas424      Pavarde424     6.92                
Vardas426      Pavarde426     6.88                
Vardas427      Pavarde427     8.64                
Vardas43       Pavarde43      5.88                
Vardas430      Pavarde430     5.44                
Vardas432      Pavarde432     5.76                
Vardas434      Pavarde434     5.92                
Vardas435      Pavarde435     7.48                
Vardas436      Pavarde436     5.28                
Vardas437      Pavarde437     7.68                
Vardas439      Pavarde439     5.16                
Vardas44       Pavarde44      8.40                
Vardas441      Pavarde441     8.08                
Vardas443      Pavarde443     6.64                
Vardas444      Pavarde444     7.16                
Vardas445      Pavarde445     5.00                
Vardas448      Pavarde448     6.60                
Vardas451      Pavarde451     6.16                
Vardas452      Pavarde452     7.64                
Vardas454      Pavarde454     5.84                
Vardas455      Pavarde455     5.28                
Vardas456      Pavarde456     5.24                
Vardas458      Pavarde458     5.88                
Vardas459      Pavarde459     7.60                
Vardas46       Pavarde46      7.60                
Vardas460      Pavarde460     5.36                
Vardas465      Pavarde465     7.32                
Vardas467      Pavarde467     5.12                
Vardas468      Pavarde468     6.64                
Vardas47       Pavarde47      5.00                
Vardas473      Pavarde473     6.84                
Vardas476      Pavarde476     5.52                
Vardas477      Pavarde477     5.44                
Vardas481      Pavarde481     8.88                
Vardas483      Pavarde483     6.60                
Vardas484      Pavarde484     5.76                
Vardas485      Pavarde485     7.52                
Vardas486      Pavarde486     6.04                
Vardas487      Pavarde487     8.28                
Vardas488      Pavarde488     6.20                
Vardas49       Pavarde49      5.60                
Vardas490      Pavarde490     7.16                
Vardas491      Pavarde491     8.00                
Vardas493      Pavarde493     6.04                
Vardas494      Pavarde494     8.20                
Vardas496      Pavarde496     5.72                
Vardas497      Pavarde497     7.28                
Vardas498      Pavarde498     5.72                
Vardas499      Pavarde499     8.64                
Vardas50       Pavarde50      6.36                
Vardas500      Pavarde500     7.28                
Vardas501      Pavarde501     7.96                
Vardas502      Pavarde502     8.60                
Vardas503      Pavarde503     5.68                
Vardas505      Pavarde505     8.24                
Vardas508      Pavarde508     5.56                
Vardas509      Pavarde509     5.80                
Vardas51       Pavarde51      6.76                
Vardas510      Pavarde510     6.76                
Vardas511      Pavarde511     5.32                
Vardas512      Pavarde512     5.08                
Vardas514      Pavarde514     7.80                
Vardas515      Pavarde515     9.04                
Vardas518      Pavarde518     8.08                
Vardas519      Pavarde519     8.40                
Vardas52       Pavarde52      5.88                
Vardas520      Pavarde520     6.56                
Vardas525      Pavarde525     5.60                
Vardas526      Pavarde526     6.88                
Vardas527      Pavarde527     6.72                
Vardas528      Pavarde528     6.44                
Vardas53       Pavarde53      5.08                
Vardas532      Pavarde532     7.80                
Vardas533      Pavarde533     7.92                
Vardas534      Pavarde534     6.16                
Vardas535      Pavarde535     5.68                
Vardas536      Pavarde536     8.40                
Vardas537      Pavarde537     6.20                
Vardas539      Pavarde539     7.92                
Vardas54       Pavarde54      8.88                
Vardas543      Pavarde543     7.44                
Vardas546      Pavarde546     7.84                
Vardas547      Pavarde547     5.00                
Vardas548      Pavarde548     6.96                
Vardas549      Pavarde549     7.76                
Vardas55       Pavarde55      8.32                
Vardas551      Pavarde551     6.96                
Vardas553      Pavarde553     5.84                
Vardas556      Pavarde556     5.76                
Vardas558      Pavarde558     6.32                
Vardas559      Pavarde559     5.24                
Vardas56       Pavarde56      6.80                
Vardas561      Pavarde561     6.92                
Vardas562      Pavarde562     7.88                
Vardas563      Pavarde563     7.96                
Vardas564      Pavarde564     6.52                
Vardas565      Pavarde565     5.64                
Vardas566      Pavarde566     6.44                
Vardas57       Pavarde57      6.60                
Vardas572      Pavarde572     5.64                
Vardas573      Pavarde573     7.52                
Vardas574      Pavarde574     8.64                
Vardas575      Pavarde575     6.68                
Vardas576      Pavarde576     5.52                
Vardas578      Pavarde578     5.00                
Vardas579      Pavarde579     5.80                
Vardas580      Pavarde580     8.56                
Vardas581      Pavarde581     5.08                
Vardas582      Pavarde582     5.96                
Vardas583      Pavarde583     5.36                
Vardas584      Pavarde584     7.84                
Vardas586      Pavarde586     6.96                
Vardas588      Pavarde588     7.64                
Vardas589      Pavarde589     7.56                
Vardas59       Pavarde59      6.64                
Vardas591      Pavarde591     6.68                
Vardas593      Pavarde593     7.04                
Vardas594      Pavarde594     6.20                
Vardas595      Pavarde595     5.52                
Vardas596      Pavarde596     6.84                
Vardas597      Pavarde597     5.80                
Vardas599      Pavarde599     7.20                
Vardas6        Pavarde6       6.40                
Vardas60       Pavarde60      7.92                
Vardas601      Pavarde601     5.96                
Vardas603      Pavarde603     5.00                
Vardas604      Pavarde604     7.28                
Vardas608      Pavarde608     5.64                
Vardas61       Pavarde61      7.44                
Vardas615      Pavarde615     5.96                
Vardas617      Pavarde617     7.48                
Vardas620      Pavarde620     8.60                
Vardas621      Pavarde621     6.88                
Vardas622      Pavarde622     7.88                
Vardas624      Pavarde624     8.24                
Vardas625      Pavarde625     7.44                
Vardas626      Pavarde626     7.52                
Vardas627      Pavarde627     8.36                
Vardas628      Pavarde628     8.04                
Vardas629      Pavarde629     8.24                
Vardas630      Pavarde630     8.52                
Vardas632      Pavarde632     5.64                
Vardas636      Pavarde636     8.04                
Vardas637      Pavarde637     8.48                
Vardas638      Pavarde638     7.32                
Vardas639      Pavarde639     5.20                
Vardas643      Pavarde643     6.00                
Vardas644      Pavarde644     8.04                
Vardas645      Pavarde645     5.44                
Vardas646      Pavarde646     7.40                
Vardas647      Pavarde647     8.00                
Vardas648      Pavarde648     8.72                
Vardas649      Pavarde649     7.56                
Vardas65       Pavarde65      5.32                
Vardas650      Pavarde650     5.64                
Vardas651      Pavarde651     7.64                
Vardas652      Pavarde652     6.92                
Vardas654      Pavarde654     5.68                
Vardas655      Pavarde655     5.80                
Vardas657      Pavarde657     8.16                
Vardas66       Pavarde66      7.28                
Vardas660      Pavarde660     5.88                
Vardas661      Pavarde661     6.56                
Vardas662      Pavarde662     5.72                
Vardas663      Pavarde663     7.40                
Vardas664      Pavarde664     7.80                
Vardas665      Pavarde665     8.56                
Vardas669      Pavarde669     8.88                
Vardas672      Pavarde672     6.76                
Vardas673      Pavarde673     5.64                
Vardas674      Pavarde674     7.92                
Vardas675      Pavarde675     8.32                
Vardas677      Pavarde677     7.28                
Vardas678      Pavarde678     8.48                
Vardas68       Pavarde68      7.92                
Vardas680      Pavarde680     7.00                
Vardas681      Pavarde681     6.60                
Vardas683      Pavarde683     7.36                
Vardas685      Pavarde685     6.44                
Vardas686      Pavarde686     7.60                
Vardas687      Pavarde687     8.36                
Vardas688      Pavarde688     8.08                
Vardas689      Pavarde689     6.44                
Vardas69       Pavarde69      7.48                
Vardas692      Pavarde692     6.76                
Vardas696      Pavarde696     5.96                
Vardas697      Pavarde697     6.88                
Vardas699      Pavarde699     8.40                
Vardas70       Pavarde70      7.60                
Vardas700      Pavarde700     6.40                
Vardas703      Pavarde703     8.72                
Vardas704      Pavarde704     5.40                
Vardas706      Pavarde706     6.12                
Vardas709      Pavarde709     8.00                
Vardas71       Pavarde71      6.12                
Vardas710      Pavarde710     5.12                
Vardas711      Pavarde711     7.60                
Vardas712      Pavarde712     7.44                
Vardas716      Pavarde716     8.76                
Vardas719      Pavarde719     7.56                
Vardas720      Pavarde720     6.20                
Vardas721      Pavarde721     7.68                
Vardas723      Pavarde723     6.20                
Vardas724      Pavarde724     5.24                
Vardas725      Pavarde725     7.64                
Vardas726      Pavarde726     6.00                
Vardas729      Pavarde729     7.12                
Vardas732      Pavarde732     7.44                
Vardas734      Pavarde734     7.36                
Vardas736      Pavarde736     7.56                
Vardas737      Pavarde737     5.76                
Vardas738      Pavarde738     7.56                
Vardas739      Pavarde739     6.00                
Vardas742      Pavarde742     6.24                
Vardas744      Pavarde744     8.32                
Vardas745      Pavarde745     5.48                
Vardas746      Pavarde746     6.44                
Vardas747      Pavarde747     7.88                
Vardas749      Pavarde749     6.88                
Vardas75       Pavarde75      6.32                
Vardas751      Pavarde751     5.80                
Vardas752      Pavarde752     6.96                
Vardas753      Pavarde753     5.00                
Vardas755      Pavarde755     7.48                
Vardas756      Pavarde756     6.32                
Vardas757      Pavarde757     6.28                
Vardas76       Pavarde76      8.56                
Vardas761      Pavarde761     7.84                
Vardas763      Pavarde763     8.32                
Vardas766      Pavarde766     8.28                
Vardas768      Pavarde768     6.96                
Vardas77       Pavarde77      6.28                
Vardas770      Pavarde770     6.20                
Vardas771      Pavarde771     6.68                
Vardas773      Pavarde773     6.56                
Vardas774      Pavarde774     6.64                
Vardas780      Pavarde780     7.00                
Vardas781      Pavarde781     7.88                
Vardas782      Pavarde782     6.36                
Vardas784      Pavarde784     8.16                
Vardas785      Pavarde785     8.24                
Vardas786      Pavarde786     7.12                
Vardas788      Pavarde788     6.16                
Vardas789      Pavarde789     6.36                
Vardas790      Pavarde790     5.36                
Vardas791      Pavarde791     5.92                
Vardas795      Pavarde795     8.28                
Vardas796      Pavarde796     8.28                
Vardas8        Pavarde8       6.96                
Vardas800      Pavarde800     5.32                
Vardas802      Pavarde802     5.92                
Vardas804      Pavarde804     7.96                
Vardas806      Pavarde806     5.20                
Vardas807      Pavarde807     7.64                
Vardas808      Pavarde808     8.40                
Vardas81       Pavarde81      6.24                
Vardas810      Pavarde810     8.96                
Vardas811      Pavarde811     7.84                
Vardas812      Pavarde812     7.40                
Vardas813      Pavarde813     5.04                
Vardas814      Pavarde814     7.08                
Vardas815      Pavarde815     8.72                
Vardas817      Pavarde817     7.20                
Vardas818      Pavarde818     6.08                
Vardas82       Pavarde82      8.16                
Vardas824      Pavarde824     7.68                
Vardas825      Pavarde825     7.96                
Vardas828      Pavarde828     7.52                
Vardas830      Pavarde830     5.88                
Vardas831      Pavarde831     6.92                
Vardas832      Pavarde832     8.80                
Vardas833      Pavarde833     5.24                
Vardas837      Pavarde837     8.32                
Vardas838      Pavarde838     5.44                
Vardas839      Pavarde839     5.60                
Vardas840      Pavarde840     8.68                
Vardas841      Pavarde841     7.44                
Vardas845      Pavarde845     8.28                
Vardas846      Pavarde846     6.56                
Vardas847      Pavarde847     5.16                
Vardas848      Pavarde848     8.48                
Vardas849      Pavarde849     7.08                
Vardas85       Pavarde85      7.68                
Vardas853      Pavarde853     5.32                
Vardas856      Pavarde856     8.20                
Vardas857      Pavarde857     8.56                
Vardas859      Pavarde859     6.08                
Vardas86       Pavarde86      5.00                
Vardas860      Pavarde860     8.72                
Vardas862      Pavarde862     5.24                
Vardas864      Pavarde864     5.72                
Vardas866      Pavarde866     6.20                
Vardas867      Pavarde867     6.44                
Vardas868      Pavarde868     7.04                
Vardas869      Pavarde869     8.28                
Vardas87       Pavarde87      5.84                
Vardas870      Pavarde870     7.24                
Vardas873      Pavarde873     5.04                
Vardas876      Pavarde876     5.76                
Vardas877      Pavarde877     6.44                
Vardas879      Pavarde879     5.28                
Vardas880      Pavarde880     6.64                
Vardas883      Pavarde883     5.48                
Vardas884      Pavarde884     6.60                
Vardas885      Pavarde885     6.60                
Vardas886      Pavarde886     5.68                
Vardas888      Pavarde888     5.32                
Vardas889      Pavarde889     8.16                
Vardas89       Pavarde89      6.48                
Vardas891      Pavarde891     7.44                
Vardas892      Pavarde892     5.24                
Vardas894      Pavarde894     7.68                
Vardas896      Pavarde896     8.72                
Vardas899      Pavarde899     8.00                
Vardas90       Pavarde90      7.20                
Vardas902      Pavarde902     7.72                
Vardas903      Pavarde903     5.00                
Vardas906      Pavarde906     5.16                
Vardas907      Pavarde907     6.64                
Vardas908      Pavarde908     5.00                
Vardas909      Pavarde909     7.64                
Vardas91       Pavarde91      6.68                
Vardas912      Pavarde912     7.36                
Vardas915      Pavarde915     7.56                
Vardas917      Pavarde917     6.04                
Vardas918      Pavarde918     8.24                
Vardas92       Pavarde92      7.04                
Vardas920      Pavarde920     7.52                
Vardas923      Pavarde923     7.00                
Vardas924      Pavarde924     6.52                
Vardas926      Pavarde926     6.44                
Vardas927      Pavarde927     8.72                
Vardas929      Pavarde929     6.68                
Vardas93       Pavarde93      6.92                
Vardas930      Pavarde930     7.44                
Vardas932      Pavarde932     8.08                
Vardas935      Pavarde935     7.24                
Vardas937      Pavarde937     5.72                
Vardas938      Pavarde938     6.80                
Vardas94       Pavarde94      6.76                
Vardas940      Pavarde940     5.96                
Vardas941      Pavarde941     7.24                
Vardas942      Pavarde942     6.96                
Vardas943      Pavarde943     6.04                
Vardas944      Pavarde944     6.60                
Vardas945      Pavarde945     6.60                
Vardas946      Pavarde946     7.48                
Vardas947      Pavarde947     5.04                
Vardas948      Pavarde948     6.72                
Vardas949      Pavarde949     5.84                
Vardas95       Pavarde95      8.64                
Vardas950      Pavarde950     5.16                
Vardas952      Pavarde952     7.60                
Vardas953      Pavarde953     7.24                
Vardas958      Pavarde958     6.48                
Vardas96       Pavarde96      8.00                
Vardas960      Pavarde960     8.64                
Vardas961      Pavarde961     5.12                
Vardas962      Pavarde962     6.68                
Vardas963      Pavarde963     7.84                
Vardas968      Pavarde968     6.68                
Vardas97       Pavarde97      5.04                
Vardas971      Pavarde971     6.72                
Vardas972      Pavarde972     6.64                
Vardas973      Pavarde973     5.72                
Vardas974      Pavarde974     6.24                
Vardas975      Pavarde975     5.00                
Vardas976      Pavarde976     5.20                
Vardas977      Pavarde977     7.68                
Vardas978      Pavarde978     6.52                
Vardas979      Pavarde979     6.20                
Vardas980      Pavarde980     7.72                
Vardas982      Pavarde982     5.56                
Vardas983      Pavarde983     6.60                
Vardas985      Pavarde985     7.60                
Vardas986      Pavarde986     6.72                
Vardas987      Pavarde987     5.24                
Vardas988      Pavarde988     5.52                
Vardas989      Pavarde989     8.00                
Vardas99       Pavarde99      7.28                
Vardas990      Pavarde990     5.00                
Vardas991      Pavarde991     7.88                
Vardas994      Pavarde994     5.76                
Vardas996      Pavarde996     6.24                
Vardas998      Pavarde998     6.96                
Vardas999      Pavarde999     5.48                
