Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas55                 Pavarde55                         4        10         1         8        10         9         2         9
Vardas56                 Pavarde56                         9         7         5         6         1         8         9         5
Vardas57                 Pavarde57                         2         5         7         7         2         8         9         1
Vardas58                 Pavarde58                         2         3         7        10         7         3         4        10
Vardas59                 Pavarde59                         4         3         8         8         5         9         3         3
Vardas60                 Pavarde60                         2         7         7         9        10         4         9         3
Vardas61                 Pavarde61                         5         1         3         9         6         1         5         3
Vardas62                 Pavarde62                         9         9         3         8         2         9         7         3
Vardas63                 Pavarde63                         5         5         5         8         6         5         1        10
Vardas64                 Pavarde64                         6         5         2         4         6         4        10         9
Vardas65                 Pavarde65                         8         1         8        10         7         1         7         9
Vardas66                 Pavarde66                         1         6         2         6         7        10         8         2
Vardas67                 Pavarde67                         6        10        10         8         3         8        10        10
Vardas68                 Pavarde68                         6         6         9        10         7        10         4        10
Vardas69                 Pavarde69                        10         2         8        10         9         2         8         4
Vardas70                 Pavarde70                         2         2         1         3         1         9         6         3
Vardas71                 Pavarde71                         1         7         1         8         3         2         3         2
Vardas72                 Pavarde72                        10         5         7         1         5         1         6         1
Vardas73                 Pavarde73                         6         5         6         1         4         4         9         2
Vardas74                 Pavarde74                         8         2         4         4         2         8         6         5
Vardas75                 Pavarde75                         7         4         7         1         6         2         9         4
Vardas76                 Pavarde76                         2         5         5         4         1         1         2         7
Vardas77                 Pavarde77                         5         4         9         6         6         3         7        10
Vardas78                 Pavarde78                        10         7         1        10         4         3         2         8
Vardas79                 Pavarde79                        10         3         7         3         3         2         1        10
Vardas80                 Pavarde80                         5         6         9         3         7        10         7         3
Vardas81                 Pavarde81                         4         6         6         7         9         8         5         3
Vardas82                 Pavarde82                         7         6         3         2         9         5         2         4
Vardas83                 Pavarde83                         9         7         1         8         7         3         7         8
Vardas84                 Pavarde84                         6         3        10         1         5         7         5         4
Vardas85                 Pavarde85                         2         6         7         2         8         8        10         6
Vardas86                 Pavarde86                         1         2         1         6         8        10         9         5
Vardas87                 Pavarde87                         5         9         6         2        10         8         2         1
Vardas88                 Pavarde88                         7         3         2         2         5         3         9         4
Vardas89                 Pavarde89                         1         3         6         2         3         9         7         6
Vardas90                 Pavarde90                         3         5         9         4         2         6         2         7
Vardas91                 Pavarde91                         8         3         9         5         6         9         7         3
Vardas92                 Pavarde92                         5         6         5         1         2         7         1         4
Vardas93                 Pavarde93                         2         2         6         3         3         8         4         5
Vardas94                 Pavarde94                         5        10         3         8         7         1         6         7
Vardas95                 Pavarde95                         9         8         6         4         9         4         8         1
Vardas96                 Pavarde96                         9         9        10         1         7         4         1         5
Vardas97                 Pavarde97                         5         2        10         2         9        10         8        10
Vardas98                 Pavarde98                         6         1         3        10         7         8         7         1
Vardas99                 Pavarde99                         8         7         3         2         6         5         5         6
Vardas100                Pavarde100                        2         1         9         7         4         9         4         6
Vardas101                Pavarde101                        7         1         4         3         5         5         3         6
Vardas102                Pavarde102                        4         6         3         9        10         9         1         4
Vardas103                Pavarde103                        8         4         9         4         1         5         3         3
Vardas104                Pavarde104                        8         1         9         7         5         3         8         1
Vardas105                Pavarde105                       10        10         6         7         2         8         6         9
Vardas106                Pavarde106                       10         8         1         9         1         2         6         3
Vardas107                Pavarde107                        1         4         2        10         4         9         7        10
Vardas108                Pavarde108                        6         7         1         6         7        10         1         3
Vardas109                Pavarde109                        3         7        10         4         2         3        10         2
Vardas110                Pavarde110                        8         4         9         5         3         8         3         9
Vardas111                Pavarde111                        8         3         6         2         4         4        10         6
Vardas112                Pavarde112                        7         6         9         3         7         7         1        10
Vardas113                Pavarde113                        3         6         3         9        10        10         9         7
Vardas114                Pavarde114                       10         6         4         4         1        10         5         5
Vardas115                Pavarde115                        5         5        10         7         2         3         9         9
Vardas116                Pavarde116                       10         2         7         7         4         7         9         8
Vardas117                Pavarde117                       10         2         9         7         2         3         3         6
Vardas118                Pavarde118                        7         7         6         2         2         7         3         6
Vardas119                Pavarde119                        2        10         3         2         6         9         9         2
Vardas120                Pavarde120                        4         2         1         7         3         6         7         2
Vardas121                Pavarde121                        3         4         1         9         3         8         1         3
Vardas122                Pavarde122                        6         3         8         2         6         6         2         8
Vardas123                Pavarde123                        7         8         8        10         1         4         7         6
Vardas124                Pavarde124                        7         6         8         3         8         2         9         8
Vardas125                Pavarde125                        6        10         1         2         3         9         4         7
Vardas126                Pavarde126                        9         8         4         3         3         1         1         3
Vardas127                Pavarde127                        8         7        10         1         8         7         3         3
Vardas128                Pavarde128                        4         6         5         3         8         4         2         6
Vardas129                Pavarde129                        2         2         1         2        10         1        10         4
Vardas130                Pavarde130                        7         1        10         2         8         8         9         4
Vardas131                Pavarde131                        5         8         8         1         1         1         4         6
Vardas132                Pavarde132                        8         2         8        10         5         7         9        10
Vardas133                Pavarde133                       10         3         9        10         6         5         1         2
Vardas134                Pavarde134                        7         9         1         3         1        10         4         1
Vardas135                Pavarde135                        6         6         2         8         3        10         5         8
Vardas136                Pavarde136                        5         1         5         8        10         7         1         9
Vardas137                Pavarde137                        9         2        10         2         1         1        10         1
Vardas138                Pavarde138                        8         8         2         4        10         7         8         1
Vardas139                Pavarde139                       10         7         5         2        10         7         9         3
Vardas140                Pavarde140                        9         7         8        10         4         5         9         3
Vardas141                Pavarde141                        9         7         6         2         2         9         8         4
Vardas142                Pavarde142                        5         1         1         4         2         4         5         1
Vardas143                Pavarde143                        6         3         4         6         8         4         5         6
Vardas144                Pavarde144                        4         9         5         5         6        10        10        10
Vardas145                Pavarde145                        2         6         4         2         9         6         7         1
Vardas146                Pavarde146                        5        10         9         4         6         9         8         9
Vardas147                Pavarde147                       10         2         2         4         5         5         6         4
Vardas148                Pavarde148                        5        10         6        10         8         6         7         5
Vardas149                Pavarde149                        9         8         8         6         3         5         4         3
Vardas150                Pavarde150                        6        10         4         5         1         4         2         5
Vardas151                Pavarde151                        7         2         5         9         8         6         8        10
Vardas152                Pavarde152                        9         6         8         1         1         4         2         3
Vardas153                Pavarde153                        6         4         5        10         5         1         8         7
Vardas154                Pavarde154                       10         6         7         4         3         9         9         7
Vardas155                Pavarde155                        3         5         2         2         7         3         9         7
Vardas156                Pavarde156                        7         8         9         7         2         1         2         2
Vardas157                Pavarde157                        9         8         3         8         8         3         8         1
Vardas158                Pavarde158                        2         8         8         5         5         7         8         2
Vardas159                Pavarde159                        7         9         6         3         4         4         4         1
Vardas160                Pavarde160                        1         7         6         3         1         8         4         8
Vardas161                Pavarde161                        6         4         9         5         8         5         9         8
Vardas162                Pavarde162                        4         6         7         2         7         3         4         2
Vardas163                Pavarde163                        2         8         8         6         1         1         2         8
Vardas164                Pavarde164                        8         1        10         3         8         3         1         4
Vardas165                Pavarde165                        9         5         6         4         5         4         9        10
Vardas166                Pavarde166                        4         6         1         3         1         8         4         6
Vardas167                Pavarde167                        6        10         7         1         1         4         6         4
Vardas168                Pavarde168                        1         3         7         8         5         7         7         8
Vardas169                Pavarde169                        8         8         7         7         1         3         5         4
Vardas170                Pavarde170                       10         4         6         4         4         5        10         8
Vardas171                Pavarde171                        1         7         7         4         4         8         4         3
Vardas172                Pavarde172                        7         2         7         3         5         2         3         2
Vardas173                Pavarde173                        7         3         7         6         5         6         1         4
Vardas174                Pavarde174                        5         5         6         2         6        10         8         6
Vardas175                Pavarde175                        1         3         2         6         9         4         3         5
Vardas176                Pavarde176                        5         6        10         1         4         7         7         9
Vardas177                Pavarde177                        7         9         5         8         2         5         5         7
Vardas178                Pavarde178                        3         6         4         5         7         2        10         9
Vardas179                Pavarde179                        3        10         8        10         5        10         8         7
Vardas180                Pavarde180                        2         3         4         1         1         6         7         8
Vardas181                Pavarde181                       10         4         9         9        10         6         3         5
Vardas182                Pavarde182                        6         5         7         7         6         3         6         4
Vardas183                Pavarde183                       10         9         1        10        10         6         2         8
Vardas184                Pavarde184                        3         9         1         5         1         9         6         5
Vardas185                Pavarde185                        8         4         6         9        10         8        10         4
Vardas186                Pavarde186                        9         9         7         2         4         8         3        10
Vardas187                Pavarde187                        7         4         7         6         6         6         2         4
Vardas188                Pavarde188                        3         1        10         6         6         6         4        10
Vardas189                Pavarde189                        8         6         2         5         2         2        10         3
Vardas190                Pavarde190                        2         3         2         5         8         3         1         3
Vardas191                Pavarde191                        8         7         4         7         4         8         8         7
Vardas192                Pavarde192                        8         7         6         9         4         2         2         8
Vardas193                Pavarde193                       10         3         2         9         6         5         1         4
Vardas194                Pavarde194                        1         9        10         5         1         3         8         6
Vardas195                Pavarde195                        9         7         5         5         8         1         9         3
Vardas196                Pavarde196                        9         5         7        10         7         4        10         6
Vardas197                Pavarde197                        8         9        10         6         4         3         3         4
Vardas198                Pavarde198                        5         5         2         8         6         5         5         1
Vardas199                Pavarde199                        4         3         4         5         5         1         7         5
Vardas200                Pavarde200                        2         9         2         1         1         5         6         7
Vardas201                Pavarde201                        3         1        10         9         7         2         4         1
Vardas202                Pavarde202                        9         5         9         9        10         6         3         7
Vardas203                Pavarde203                        2         2         2         3         9         4         2         1
Vardas204                Pavarde204                       10         6         3         7         1         9         7         7
Vardas205                Pavarde205                        7         8         6         3         5        10         7         3
Vardas206                Pavarde206                        3         2         4         5         6         3         4         4
Vardas207                Pavarde207                        5         4         6         6         4         1         6         6
Vardas208                Pavarde208                        2         4         8         9         8         3         4         9
Vardas209                Pavarde209                        8         6         7         8        10         4         4         6
Vardas210                Pavarde210                        7         5         4         1         5         8         3         1
Vardas211                Pavarde211                        8         9         1         7         8        10         4        10
Vardas212                Pavarde212                        5         5         3         9         6         6         3         7
Vardas213                Pavarde213                        6         4         3         1         6         3         1         3
Vardas214                Pavarde214                        6         7         8         1         6         6         5         1
Vardas215                Pavarde215                        3         2         4         7         3         5         5         1
Vardas216                Pavarde216                        5         6         4         1         5         2         1         6
Vardas217                Pavarde217                        6         3         3         3         8         3         6         7
Vardas218                Pavarde218                        3        10         4        10         8         5         4         3
Vardas219                Pavarde219                        6         9         9         9         4         6         3         5
Vardas220                Pavarde220                        9         1         7         3         4         4         3         1
Vardas221                Pavarde221                        8         4         7         7         9         3         9         4
Vardas222                Pavarde222                        6         3         3         5         6         9         2         3
Vardas223                Pavarde223                        8         7         4         6         1         6         1         5
Vardas224                Pavarde224                        3         5         4         6         8         7         5         4
Vardas225                Pavarde225                        5         6         8         6        10         6         5         8
Vardas226                Pavarde226                       10         7         4         8        10        10         5         4
Vardas227                Pavarde227                       10         5         7         8         7         5         3         4
Vardas228                Pavarde228                       10         4         8         8         3         6         5         8
Vardas229                Pavarde229                       10         2         4         9         5         8         1         9
Vardas230                Pavarde230                        9         8        10         5         9         8         2         8
Vardas231                Pavarde231                        8         2         9         9         2         9        10         2
Vardas232                Pavarde232                        8         5         4         2         4         6         3        10
Vardas233                Pavarde233                        5         8         4         9         2         2         9         6
Vardas234                Pavarde234                        7         8         2        10         5        10         6         2
Vardas235                Pavarde235                        7         9         7        10         6         6         1         3
Vardas236                Pavarde236                        2         3         6         4         6         8         6         6
Vardas237                Pavarde237                        4        10         9         3         8         7         4         4
Vardas238                Pavarde238                        9         4         8         3         2         4         1         1
Vardas239                Pavarde239                        9         3         9        10        10         5         2         5
Vardas240                Pavarde240                        1         7         6         1         8         8         6         1
Vardas241                Pavarde241                        4         8         3         8         2         7         4         3
Vardas242                Pavarde242                        8         2        10         6         9         3         8         7
Vardas243                Pavarde243                        2         4         5         3         5         8         1         3
Vardas244                Pavarde244                        3         3         3         6         6         2        10         7
Vardas245                Pavarde245                        3         2        10         4         2         6         8         3
Vardas246                Pavarde246                       10         7         8         1         3         4         1         7
Vardas247                Pavarde247                        6         7         2         8         2         5         6         6
Vardas248                Pavarde248                        3         4         2         7        10         7         1         3
Vardas249                Pavarde249                        3         6         6         7         7         1         7         2
Vardas250                Pavarde250                        3        10         4         5         7         9         5         6
Vardas251                Pavarde251                        8         5         6         1        10         5         9         7
Vardas252                Pavarde252                       10         1         8         3         6         9         9         4
Vardas253                Pavarde253                        6         3         1        10         7         3         9         2
Vardas254                Pavarde254                        4         3         5         8         5         2         6         8
Vardas255                Pavarde255                        1         1         7        10         6         9         9         3
Vardas256                Pavarde256                        3         8         4        10         4         2         5         9
Vardas257                Pavarde257                        1         3         6        10         7         4         9         1
Vardas258                Pavarde258                        6         6        10         5         3         5        10         7
Vardas259                Pavarde259                        8         2         3         6         5         1         5         3
Vardas260                Pavarde260                        7         3         6         5         6         8         6         3
Vardas261                Pavarde261                        3         5         5         7         1         2         7         4
Vardas262                Pavarde262                        4         4         7         3         8         2         3         6
Vardas263                Pavarde263                        6         8         2         9         1         3         3         6
Vardas264                Pavarde264                       10         8        10         9         5         4         7         3
Vardas265                Pavarde265                        6         5         5         2        10         3         6         9
Vardas266                Pavarde266                       10         2         8         4        10         7         1         1
Vardas267                Pavarde267                        6         7         2         1         7         3         4         8
Vardas268                Pavarde268                        8         3         3         5         7         9         8         8
Vardas269                Pavarde269                       10         4         7         9         6        10         9         1
Vardas270                Pavarde270                        9        10         6        10         6         2         8         3
Vardas271                Pavarde271                        7         9         3         3         4         9        10         5
Vardas272                Pavarde272                        4         2         9         2         5         9         4         7
Vardas273                Pavarde273                        3         4         5         5         9         8         8         9
Vardas274                Pavarde274                        8         8         6         3         1         4         1         1
Vardas275                Pavarde275                        4         1         8         1         5         8         2         7
Vardas276                Pavarde276                        4         3         7         4         7         5        10         5
Vardas277                Pavarde277                        4         9         4         1         7         1         5         7
Vardas278                Pavarde278                        5         8         8         5         4         3         8         8
Vardas279                Pavarde279                        2         9         5         3         8         4        10         2
Vardas280                Pavarde280                        9        10         8         5         3         9         6         6
Vardas281                Pavarde281                        8         2         2        10         6         9         8         9
Vardas282                Pavarde282                        6         8         4         3         5         7         5         2
Vardas283                Pavarde283                        8         2         3         8         2         5         6         4
Vardas284                Pavarde284                        1         9         6         1        10         5         1         9
Vardas285                Pavarde285                        5         5         8         9         5         4         5         2
Vardas286                Pavarde286                        1        10        10         9         9         6         5         4
Vardas287                Pavarde287                        5        10         6         2         6         7         1         2
Vardas288                Pavarde288                        5        10         9         3         1        10         8        10
Vardas289                Pavarde289                        9         4         8         6         3         8         1         3
Vardas290                Pavarde290                       10         2         4         6         3         1        10         8
Vardas291                Pavarde291                       10        10         7         1         6         6        10         7
Vardas292                Pavarde292                       10         1         8        10         5        10         6         3
Vardas293                Pavarde293                        4         8         2        10         1         9         1        10
Vardas294                Pavarde294                        9         9         3         6         1         7         5         4
Vardas295                Pavarde295                       10         6        10         5        10         9         8         4
Vardas296                Pavarde296                        7        10         7         1         2         6         6         5
Vardas297                Pavarde297                        5         6         6         2         2        10         8         3
Vardas298                Pavarde298                        2         9         8         7         5         6        10         3
Vardas299                Pavarde299                        7         3         3         7         4         2         9        10
Vardas300                Pavarde300                        5         2         4         7         8         8         2         5
Vardas301                Pavarde301                        2         9         2         5        10         6         8        10
Vardas302                Pavarde302                        1         3         6         7         4         1         9         2
Vardas303                Pavarde303                        9         9         5         1         9         2         5         8
Vardas304                Pavarde304                        9         8         9         6         2         2         4         7
Vardas305                Pavarde305                        9         2        10         9        10         7         9         5
Vardas306                Pavarde306                        5         5         3         5        10         1         8         2
Vardas307                Pavarde307                        4         3         2         1         4         2        10         9
Vardas308                Pavarde308                        1        10         3        10         7         8         1         2
Vardas309                Pavarde309                        2         7         9         9         5         3         6         5
Vardas310                Pavarde310                       10        10         7         2         1         6        10         7
Vardas311                Pavarde311                        8         7         3         3         8         3         1         2
Vardas312                Pavarde312                        8         8        10         4         2         8         8         7
Vardas313                Pavarde313                        9         4         6         9         1         4         3         2
Vardas314                Pavarde314                        2         1         6         6         9         5         2         9
Vardas315                Pavarde315                       10         3         5        10         2         8         6         9
Vardas316                Pavarde316                        2         1         1         2        10         2         6         7
Vardas317                Pavarde317                        2         5         4         3         1         2         5         7
Vardas318                Pavarde318                        8         5        10         5         6         4         3         7
Vardas319                Pavarde319                        1         6         4         8         8         1         6         6
Vardas320                Pavarde320                        8         4         5         7         3         9        10         3
Vardas321                Pavarde321                        8         6         9         6         5        10        10         9
Vardas322                Pavarde322                        6         4         1         5         2         1         3         8
Vardas323                Pavarde323                        1         9         6         1        10        10         5         9
Vardas324                Pavarde324                        3         7         1         2         1         4         7         4
Vardas325                Pavarde325                        8         3         5         7         9         3        10         6
Vardas326                Pavarde326                        2         1         9         4         2         8         3         8
Vardas327                Pavarde327                        8         2         7         8         7         3         9         8
Vardas328                Pavarde328                        8         3         7         2         4         5         9         5
Vardas329                Pavarde329                        4         9         8         8         8         9         5         4
Vardas330                Pavarde330                        5         4         6         1         3         5         5         9
Vardas331                Pavarde331                        9         1         7         6         4         1         7         4
Vardas332                Pavarde332                        7         2         2         5         2         1         9         1
Vardas333                Pavarde333                        6         3         4         6         9         6         3         5
Vardas334                Pavarde334                        7         1         1         2         9         4         8         9
Vardas335                Pavarde335                        3         4         5         8         7        10         7         9
Vardas336                Pavarde336                        2        10         9         3         8         4         1         1
Vardas337                Pavarde337                        4        10         1         2         4         7         6         2
Vardas338                Pavarde338                        7         7         4        10         3         1         6         5
Vardas339                Pavarde339                        7         2         6         3         2         9         2         4
Vardas340                Pavarde340                        8         2         9         9         4         7         5         3
Vardas341                Pavarde341                        5         9         3         3         6         2         1         7
Vardas342                Pavarde342                        2         1         8         5         7         7        10        10
Vardas343                Pavarde343                        1         6         9         8         4         5         5         5
