Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5      Egz.
Vardas86                 Pavarde86                         5         4         1         9         6         5
Vardas87                 Pavarde87                         9         9         1         2         7         6
Vardas88                 Pavarde88                         7         2         7        10         7         1
Vardas89                 Pavarde89                         4         6         7         2         2         8
Vardas90                 Pavarde90                         2         2         4         4         3        10
Vardas91                 Pavarde91                         6         2         3         3         2         9
Vardas92                 Pavarde92                         4         7         1         6        10         8
Vardas93                 Pavarde93                         6         3         2         5         3         9
Vardas94                 Pavarde94                         5         1         9         9         8         7
Vardas95                 Pavarde95                         5         7         4         8         9        10
Vardas96                 Pavarde96                         1        10         2         8         4        10
Vardas97                 Pavarde97                        10         1        10        10         2         4
Vardas98                 Pavarde98                         9         9         6         4         5         2
Vardas99                 Pavarde99                         5         2         5         3         1        10
Vardas100                Pavarde100                        5         5         5         1         4         8
Vardas101                Pavarde101                        4         8         1         3         2         8
Vardas102                Pavarde102                        7         7         1         5         8         9
Vardas103                Pavarde103                        6         4         6         9         3         3
Vardas104                Pavarde104                        3         5         3         4         3         6
Vardas105                Pavarde105                        9         7         5         5         4         4
Vardas106                Pavarde106                        1         2         7         4         7         6
Vardas107                Pavarde107                        5        10         1         8         6         7
Vardas108                Pavarde108                        6         4         8         6         4         7
Vardas109                Pavarde109                        7        10         9         2         3         1
Vardas110                Pavarde110                        4        10         2         4         6         1
Vardas111                Pavarde111                        6         2         4         8         5        10
Vardas112                Pavarde112                        8         9         6        10         2         3
Vardas113                Pavarde113                        1         9         8        10         7         7
Vardas114                Pavarde114                        9         1         2         7         2         8
Vardas115                Pavarde115                       10         9         1         4         8         3
Vardas116                Pavarde116                       10         5         4         6        10         5
Vardas117                Pavarde117                       10         2        10        10         9         1
Vardas118                Pavarde118                        3         8         6         6         4         2
Vardas119                Pavarde119                        1         8         2         5         6         3
Vardas120                Pavarde120                        4         4         9         2         1         1
Vardas121                Pavarde121                        4         6         4         8         6         5
Vardas122                Pavarde122                        7         1         6         3         8         6
Vardas123                Pavarde123                        1         9        10         9         4         4
Vardas124                Pavarde124                        1         2         8         8         6        10
Vardas125                Pavarde125                        8         1         1         7         7         6
Vardas126                Pavarde126                        6        10         2         3         4         7
Vardas127                Pavarde127                        9         7         8         4        10         4
Vardas128                Pavarde128                        4         7        10         1         9         1
Vardas129                Pavarde129                        1         9         2         8         6         5
Vardas130                Pavarde130                        1         7         6        10         3         7
Vardas131                Pavarde131                        4         1         2         8         8         8
Vardas132                Pavarde132                        7         2         6        10        10         3
Vardas133                Pavarde133                        5         7        10         2         4         7
Vardas134                Pavarde134                        6         2         8         5         2         9
Vardas135                Pavarde135                        1         7         8         6         7         7
Vardas136                Pavarde136                        8         5         6         2         8         3
Vardas137                Pavarde137                        2         8         1         5         9         8
Vardas138                Pavarde138                        6         8         7         7         2         7
Vardas139                Pavarde139                        8         9         6         6         3         2
Vardas140                Pavarde140                        4         9         1         6         6         6
Vardas141                Pavarde141                        3         3         9         8         6         9
Vardas142                Pavarde142                        3         2         4         4         7         7
Vardas143                Pavarde143                        2         8         1         9         2         1
Vardas144                Pavarde144                        7        10         1         9        10        10
Vardas145                Pavarde145                        8         5        10         6         7         7
Vardas146                Pavarde146                       10         1         6         7         5         5
Vardas147                Pavarde147                        8         8        10         8         3         1
Vardas148                Pavarde148                        4         9         9         5        10         6
Vardas149                Pavarde149                        4         7         9         7         3         9
Vardas150                Pavarde150                        3         4         8         9         6        10
Vardas151                Pavarde151                        3        10         8         4         6         1
Vardas152                Pavarde152                        6         6         5         4         6         8
Vardas153                Pavarde153                        6         3         1         4         7         1
Vardas154                Pavarde154                        3         2         2         6         1         8
Vardas155                Pavarde155                        8         1         7         8         9         4
Vardas156                Pavarde156                        7         1         1         2         4         8
Vardas157                Pavarde157                        9         6         3         9         7         1
Vardas158                Pavarde158                        1         4        10         7        10         8
Vardas159                Pavarde159                        5         5         2         5         2         1
Vardas160                Pavarde160                        6         6         3         4         4         5
Vardas161                Pavarde161                        2        10         2         8         4        10
Vardas162                Pavarde162                        6        10         5         6         2         2
Vardas163                Pavarde163                        8         3         8         2         1         2
Vardas164                Pavarde164                        9        10         8        10         7         5
Vardas165                Pavarde165                        3         1         5         3         1         2
Vardas166                Pavarde166                        1         5         2         1         9         1
Vardas167                Pavarde167                        4         3         1         1         3         4
Vardas168                Pavarde168                        5         3        10         5         5         3
Vardas169                Pavarde169                        3         4         5        10         9         7
Vardas170                Pavarde170                        2         1         7         5         5        10
Vardas171                Pavarde171                        2         7         1         6         4         3
Vardas172                Pavarde172                        5         8         4         9         2         5
Vardas173                Pavarde173                        1         3         9         9         2         9
Vardas174                Pavarde174                        3         9         6         5         1         8
Vardas175                Pavarde175                        2         1         9         1         8         3
Vardas176                Pavarde176                        7         1        10         2         5         6
Vardas177                Pavarde177                       10         7         7         9         4         2
Vardas178                Pavarde178                        8         3         1         4         5         2
Vardas179                Pavarde179                        1         1         2         1         7         5
Vardas180                Pavarde180                        7         1         9         8         9         1
Vardas181                Pavarde181                        1         9         2         5        10         4
Vardas182                Pavarde182                        6         4        10         1         3        10
Vardas183                Pavarde183                        1         9         6         6         8         6
Vardas184                Pavarde184                        3         3         3         7         3         1
Vardas185                Pavarde185                        8        10         8         8         9         5
Vardas186                Pavarde186                        4         2         9         4         6         6
Vardas187                Pavarde187                       10         7         5         7         9         2
Vardas188                Pavarde188                        9         2         1         6         5         7
Vardas189                Pavarde189                        3        10         7         5         3         9
Vardas190                Pavarde190                        6         3         5        10        10         2
Vardas191                Pavarde191                       10         6         8        10         6         6
Vardas192                Pavarde192                       10         8         8         9         7         4
Vardas193                Pavarde193                        7         6         2         6         1         8
Vardas194                Pavarde194                        2         4         2         8         4         1
Vardas195                Pavarde195                       10         3         2         3         5         5
Vardas196                Pavarde196                       10         8         3         5        10         2
Vardas197                Pavarde197                        6         5         7         4        10         3
Vardas198                Pavarde198                       10         3         9         8         8         2
Vardas199                Pavarde199                        8         7         7         1         5         8
Vardas200                Pavarde200                        9         5         5         4         8         2
Vardas201                Pavarde201                        9         6        10         3         8         5
Vardas202                Pavarde202                        9         6         2         4         6         8
Vardas203                Pavarde203                        6         8         6         6         5         1
Vardas204                Pavarde204                        6         4        10         4         3         7
Vardas205                Pavarde205                        1         9         3         9         6         1
Vardas206                Pavarde206                        2         2        10         8         2         6
Vardas207                Pavarde207                        5         7         5         6         9         4
Vardas208                Pavarde208                        3         8         6         7         9         8
Vardas209                Pavarde209                        5        10         6         2        10         9
Vardas210                Pavarde210                        1         6         9         6         8         4
Vardas211                Pavarde211                        2        10         1         8         7         6
Vardas212                Pavarde212                        8         6         4         5         8         7
Vardas213                Pavarde213                        9         3         9         3         9         8
Vardas214                Pavarde214                        5         3         1         3        10         7
Vardas215                Pavarde215                        1         8        10         6         3         7
Vardas216                Pavarde216                        2         1         6         7         3         6
Vardas217                Pavarde217                        8         6         7         1         2         8
Vardas218                Pavarde218                        6         9         5         6         4         6
Vardas219                Pavarde219                        7         6         2         4         2         4
Vardas220                Pavarde220                        8         2        10         7         4         8
Vardas221                Pavarde221                        5         6         5         3         3         8
Vardas222                Pavarde222                        8         1         2         7         7         4
Vardas223                Pavarde223                       10         6         5         7         5         7
Vardas224                Pavarde224                        2        10         8         5         7         7
Vardas225                Pavarde225                        1         3         9         8         1         5
Vardas226                Pavarde226                        1         9         7         8         7         3
Vardas227                Pavarde227                        9         7         1         4         6         4
Vardas228                Pavarde228                        8        10         3         6         7         9
Vardas229                Pavarde229                        1         2         2         7         5         9
Vardas230                Pavarde230                        5         4         4         8         7         5
Vardas231                Pavarde231                        1        10         6         2         6         3
Vardas232                Pavarde232                       10         7        10         2         7        10
Vardas233                Pavarde233                        8         2         7         8         4         6
Vardas234                Pavarde234                        5        10         9         1         5         6
Vardas235                Pavarde235                        5         5         6         8         9         4
Vardas236                Pavarde236                        5         6        10         9         9         7
Vardas237                Pavarde237                        6         2         9         6         1         6
Vardas238                Pavarde238                        1         1         7         2        10         7
Vardas239                Pavarde239                        9        10         8         8         1         6
Vardas240                Pavarde240                        5         7         2         6         5         3
Vardas241                Pavarde241                        1         4         4         6        10         7
Vardas242                Pavarde242                        1         5         2         6         2         4
Vardas243                Pavarde243                       10         6         6         3         1         3
Vardas244                Pavarde244                        4         2         1         3         9         9
Vardas245                Pavarde245                        7         7         8         8         8         6
Vardas246                Pavarde246                       10         3         9         2         7         8
Vardas247                Pavarde247                        7         6         1         6        10         7
Vardas248                Pavarde248                        3         8         1         8         2         9
Vardas249                Pavarde249                       10         3         2         6         7         4
Vardas250                Pavarde250                        2         2         6         8         2         3
Vardas251                Pavarde251                       10         5         7         9         4         8
Vardas252                Pavarde252                        8         3         1         4         7         2
Vardas253                Pavarde253                        3         7         3         6         5         8
Vardas254                Pavarde254                        4        10        10         4         9         4
Vardas255                Pavarde255                        8         3         3         6         9        10
Vardas256                Pavarde256                        4         6         4         7         1         7
Vardas257                Pavarde257                        8         8         9         2         9         7
Vardas258                Pavarde258                        5         9         6         1         3         5
Vardas259                Pavarde259                        8         1         2         7         1         7
Vardas260                Pavarde260                        7         4         2         2         5         1
Vardas261                Pavarde261                        8         9         1         3         7         5
Vardas262                Pavarde262                       10         3         4         6         3         5
Vardas263                Pavarde263                        2         6         2        10         7         8
Vardas264                Pavarde264                        4         3         7        10         3        10
Vardas265                Pavarde265                        4         2        10        10         6         5
Vardas266                Pavarde266                        1         6         1        10         8         5
Vardas267                Pavarde267                        2         2         2         9         4         2
Vardas268                Pavarde268                        5         1         5         2         5         3
Vardas269                Pavarde269                        4         1         8         5         3         6
Vardas270                Pavarde270                        8         8         8         6         3         1
Vardas271                Pavarde271                        9         3         5         6         6         4
Vardas272                Pavarde272                        2        10        10         9         5         2
Vardas273                Pavarde273                        5         5         1         9         8         6
Vardas274                Pavarde274                        3         9         6         6         9         3
Vardas275                Pavarde275                        4         6         2         4         2         4
Vardas276                Pavarde276                        2         1         9         6        10         9
Vardas277                Pavarde277                        7         2         4         9         2         6
Vardas278                Pavarde278                       10         7         3         4         7         7
Vardas279                Pavarde279                        3         9        10        10         2         2
Vardas280                Pavarde280                        4         4         8         5         3         4
Vardas281                Pavarde281                        7         7         1         4         5        10
Vardas282                Pavarde282                        7         1         9         1         1         7
Vardas283                Pavarde283                        6         7        10        10         6         7
Vardas284                Pavarde284                        6         9         1         8         5         6
Vardas285                Pavarde285                        7         2         7        10        10         4
Vardas286                Pavarde286                        2         4         4         6         7         5
Vardas287                Pavarde287                        8         8         2         5        10        10
Vardas288                Pavarde288                        5         7         7        10         6         3
Vardas289                Pavarde289                        7         5         2         7         6         5
Vardas290                Pavarde290                        7         3         3         1         6         7
Vardas291                Pavarde291                        8        10         1         8         3         2
Vardas292                Pavarde292                        2         2         2         6        10         3
Vardas293                Pavarde293                        5         8         4         5         8         5
Vardas294                Pavarde294                        4         1         4         7         1         4
Vardas295                Pavarde295                        1         1         3         3        10         6
Vardas296                Pavarde296                       10        10         4         3         3         9
Vardas297                Pavarde297                        3         8         3         1         4         9
Vardas298                Pavarde298                        5         3         9         6         6         2
Vardas299                Pavarde299                        5         4         5         7         3         6
Vardas300                Pavarde300                        4         6         3         9         7         4
Vardas301                Pavarde301                        3         8         8         5         4         5
Vardas302                Pavarde302                        3        10         3         6         1         2
Vardas303                Pavarde303                        1         8         1         5         7         1
Vardas304                Pavarde304                        1         9         2         6         3         6
Vardas305                Pavarde305                        7         3         2         4         9         9
Vardas306                Pavarde306                        8         8         4         1         9         3
Vardas307                Pavarde307                        9         8         2         5         1        10
Vardas308                Pavarde308                       10         3         6         2         5         2
Vardas309                Pavarde309                        5         7         2         8         2         2
Vardas310                Pavarde310                       10        10         5         6         6         5
Vardas311                Pavarde311                        1         4         4        10         5         8
Vardas312                Pavarde312                        2         5        10         7         3         5
Vardas313                Pavarde313                       10         1         7         9         9         9
Vardas314                Pavarde314                        8         7         3         6         7         8
Vardas315                Pavarde315                        3         4         6         1         3         4
Vardas316                Pavarde316                        7         7         6         2         2         7
Vardas317                Pavarde317                       10         3         5         1         3         8
Vardas318                Pavarde318                       10         8         8         4        10         7
Vardas319                Pavarde319                        3         7         5         7         4         3
Vardas320                Pavarde320                       10         5         5         9        10         3
Vardas321                Pavarde321                        6         3         6        10        10         7
Vardas322                Pavarde322                        4         1         6        10         8         3
Vardas323                Pavarde323                        9         1         3        10         8         8
Vardas324                Pavarde324                        2         5         7         2         1         2
Vardas325                Pavarde325                        1         3         3         7         2         7
Vardas326                Pavarde326                        7         4         7         2         4         9
Vardas327                Pavarde327                        1         8         9        10         9         2
Vardas328                Pavarde328                       10         7         8         9         3         6
Vardas329                Pavarde329                        3         9         1         1         8         6
Vardas330                Pavarde330                        3         8        10         8         3         2
Vardas331                Pavarde331                        6         4         6         7        10         3
Vardas332                Pavarde332                        8         1         9         1         6         1
Vardas333                Pavarde333                        1         9         2         6        10         5
Vardas334                Pavarde334                        2         4         1         6         9         1
Vardas335                Pavarde335                        5        10        10        10        10         3
Vardas336                Pavarde336                        3        10         4         2         7         1
Vardas337                Pavarde337                        5         1         4         9         9         8
Vardas338                Pavarde338                        5         1         8         2         3         2
Vardas339                Pavarde339                        8         2         5         1         9         7
Vardas340                Pavarde340                        1         9         8        10         3         8
Vardas341                Pavarde341                        9         8         6        10         9        10
Vardas342                Pavarde342                        2         7         4         9         1         4
Vardas343                Pavarde343                        4         9         2         7         8         7
Vardas344                Pavarde344                       10         4         5         5         3         8
Vardas345                Pavarde345                        8         6         6         9         5         8
Vardas346                Pavarde346                        3         6         4         7         8         2
Vardas347                Pavarde347                        8         7         1        10         9         1
Vardas348                Pavarde348                        4         5         3         2         6         8
Vardas349                Pavarde349                        4         7         9         4         9         8
Vardas350                Pavarde350                       10         8         8         9        10         4
Vardas351                Pavarde351                        4         6        10         3         1         8
Vardas352                Pavarde352                        2         4         7         7        10         9
Vardas353                Pavarde353                        1         4         4         4         6         8
Vardas354                Pavarde354                        1         5         3         8         4         6
Vardas355                Pavarde355                        7         5        10         5         5         4
Vardas356                Pavarde356                        8         5        10         9         3         6
Vardas357                Pavarde357                        9         2         2         8         5         8
Vardas358                Pavarde358                        9         5         3         5         9         7
Vardas359                Pavarde359                        1         4        10         3         2        10
Vardas360                Pavarde360                        8         2         2         6         1         4
Vardas361                Pavarde361                        1         9         7         2         6         9
Vardas362                Pavarde362                        8         9         3        10         8         6
Vardas363                Pavarde363                        9         8         7         4         6        10
Vardas364                Pavarde364                        8         5         9         4         6         9
Vardas365                Pavarde365                        7        10        10         4        10        10
Vardas366                Pavarde366                        7         1         3         1         4         8
Vardas367                Pavarde367                        9         9         2         2         1         7
Vardas368                Pavarde368                        7        10         4         4         4         7
Vardas369                Pavarde369                        4         8         4         3         9         9
Vardas370                Pavarde370                        9        10         5         5         3         6
Vardas371                Pavarde371                        1         4        10        10         5         1
Vardas372                Pavarde372                        7        10         3         7         5        10
Vardas373                Pavarde373                        2         7         6         6         9         9
Vardas374                Pavarde374                        4         9         6         9         1         6
Vardas375                Pavarde375                       10         1         3         1         2         6
Vardas376                Pavarde376                        9         6         1         9         4         8
Vardas377                Pavarde377                        5         6         3         9         9         1
Vardas378                Pavarde378                        8         6         2        10         1         6
Vardas379                Pavarde379                        3         8         8         7         1         5
Vardas380                Pavarde380                        1         1         1         5         6         3
Vardas381                Pavarde381                        9         1         7         3         7         5
Vardas382                Pavarde382                        6        10        10         3         7        10
Vardas383                Pavarde383                        5         2         7         7         2         7
Vardas384                Pavarde384                        8        10         5         5         4         8
Vardas385                Pavarde385                        8         3         6         2         3         9
Vardas386                Pavarde386                        4         8        10         7         9         8
Vardas387                Pavarde387                        5         6         1         1         6         4
Vardas388                Pavarde388                        7         9         5         6         9         7
Vardas389                Pavarde389                        9         8         7        10         9         1
Vardas390                Pavarde390                       10         5        10         2         7         5
Vardas391                Pavarde391                        7        10         3         8         6        10
Vardas392                Pavarde392                        4        10         3         8         5         3
Vardas393                Pavarde393                        8         2         2         6         7         4
Vardas394                Pavarde394                        9        10        10         5         1         1
Vardas395                Pavarde395                        7         3        10         6         3         9
Vardas396                Pavarde396                        8         3         2         7         2         6
Vardas397                Pavarde397                        7         9        10         6         7         2
Vardas398                Pavarde398                        5         2         8         6         4         1
Vardas399                Pavarde399                        2         7         5         7         7         3
Vardas400                Pavarde400                        7         7         2         8         1         2
Vardas401                Pavarde401                       10         5        10         7         6         2
Vardas402                Pavarde402                        8         5         1         6         5         9
Vardas403                Pavarde403                        3         6         6         7         8         5
Vardas404                Pavarde404                        9         5         5         2         7         4
Vardas405                Pavarde405                        8         4         9         5         8         9
Vardas406                Pavarde406                        1         9         8         3         4         7
Vardas407                Pavarde407                        5        10         5         4         3         6
Vardas408                Pavarde408                        4        10         8         6         4         5
Vardas409                Pavarde409                        5         1         7         5         6         5
Vardas410                Pavarde410                        9        10         6         2         9         2
Vardas411                Pavarde411                       10         5         4         6        10         7
Vardas412                Pavarde412                        2         1         3         7         6         1
Vardas413                Pavarde413                        5         3         4         6         9         4
Vardas414                Pavarde414                        8         3         2         3         4         9
Vardas415                Pavarde415                        1         9         4         9         6         1
Vardas416                Pavarde416                        9         1         7         1        10         2
Vardas417                Pavarde417                        6         8         8         7         9         2
Vardas418                Pavarde418                        3         2         8         2         5         1
Vardas419                Pavarde419                        7         9         8         8         4         3
Vardas420                Pavarde420                        9         5         1         6         6         4
Vardas421                Pavarde421                        4         7         4         8         3         9
Vardas422                Pavarde422                        9         7         9         3         3         2
Vardas423                Pavarde423                        2         3         1         6         3        10
Vardas424                Pavarde424                       10         4         9         6         5         7
Vardas425                Pavarde425                        3        10         3         7         2         4
Vardas426                Pavarde426                        9         1         8         2         6         8
Vardas427                Pavarde427                        8         8         5         7         5        10
Vardas428                Pavarde428                        2         8         6         4         7         2
Vardas429                Pavarde429                       10         5         5         9         9         1
Vardas430                Pavarde430                        1         3         8         6         5         6
Vardas431                Pavarde431                       10         3         2         3         6         4
Vardas432                Pavarde432                        2         9         4         5         7         6
Vardas433                Pavarde433                        7         8         7         2         7         3
Vardas434                Pavarde434                        4         4         3        10         8         6
Vardas435                Pavarde435                        4         7         2         6         7         9
Vardas436                Pavarde436                        9        10         1        10         6         4
Vardas437                Pavarde437                        4         4        10         8        10         8
Vardas438                Pavarde438                       10         9         5         6         8         3
Vardas439                Pavarde439                        3         6         3         5        10         5
Vardas440                Pavarde440                        8         4         5         2         5         5
Vardas441                Pavarde441                        8         1         9         2         6        10
Vardas442                Pavarde442                        6         6         8         6         5         4
Vardas443                Pavarde443                        1         9         7         4         2         8
Vardas444                Pavarde444                        5         8         8         9         7         7
Vardas445                Pavarde445                        3        10         5         4         3         5
Vardas446                Pavarde446                        8         7         4         2         5         1
Vardas447                Pavarde447                        4         1         3         9        10         1
Vardas448                Pavarde448                        9         7         9         1         4         7
Vardas449                Pavarde449                        9         9         6         6         4         2
Vardas450                Pavarde450                        9         3         3         4        10         3
Vardas451                Pavarde451                        6         9        10         3         4         6
Vardas452                Pavarde452                       10        10         1         3         4         9
Vardas453                Pavarde453                        4         2         5         1         7         3
Vardas454                Pavarde454                        2         2         9         8         7         6
Vardas455                Pavarde455                        9        10         4        10         3         4
Vardas456                Pavarde456                       10         5         3         5         5         5
Vardas457                Pavarde457                        2         3         8         3         7         2
Vardas458                Pavarde458                        8         7         8         5         8         5
Vardas459                Pavarde459                        7         6         6         8         8         8
Vardas460                Pavarde460                        3         5         7         1         6         6
Vardas461                Pavarde461                        2         8         3         1         1         3
Vardas462                Pavarde462                        4         7         1         7        10         1
Vardas463                Pavarde463                        6         3         2         1         9         4
Vardas464                Pavarde464                        6         1         8         3         8         4
Vardas465                Pavarde465                        3         4         5         8         4         9
Vardas466                Pavarde466                        7         1         1        10         5         2
Vardas467                Pavarde467                        1         3         8         2         5         6
Vardas468                Pavarde468                        6         4         2         9         2         8
Vardas469                Pavarde469                        5         8         5        10         4         3
Vardas470                Pavarde470                       10        10         6         7         6         3
Vardas471                Pavarde471                        6        10         7         4         5         1
Vardas472                Pavarde472                        9         6         5         4         6         1
Vardas473                Pavarde473                        6        10        10         5         2         7
Vardas474                Pavarde474                        1         7         5        10         6         2
Vardas475                Pavarde475                        5         9         5         5        10         2
Vardas476                Pavarde476                        4         5         9         5         1         6
Vardas477                Pavarde477                        7         4         2         7         3         6
Vardas478                Pavarde478                        8         8         1         7         5         3
Vardas479                Pavarde479                        1         1         2         3         1         4
Vardas480                Pavarde480                        4         1         6         9         1         5
Vardas481                Pavarde481                        6         4        10         8         8        10
Vardas482                Pavarde482                        6         1         6         1         3         6
Vardas483                Pavarde483                        6         9         8         3         4         7
Vardas484                Pavarde484                        6        10         5         1         5         6
Vardas485                Pavarde485                        6         7         4        10         7         8
Vardas486                Pavarde486                        6         3         6         2         6         7
Vardas487                Pavarde487                        7        10         2         7        10         9
Vardas488                Pavarde488                        4         6         5         3         7         7
Vardas489                Pavarde489                        5         9         7        10         6         1
Vardas490                Pavarde490                        4         5         5         4         4         9
Vardas491                Pavarde491                        3         6         5         9         2        10
Vardas492                Pavarde492                       10         4         8         3         3         2
Vardas493                Pavarde493                        8         5         6         9        10         5
Vardas494                Pavarde494                        8         5         7         5        10         9
Vardas495                Pavarde495                        4        10         8         7        10         1
Vardas496                Pavarde496                        7         1         6         2         3         7
Vardas497                Pavarde497                        8         3         9         7         4         8
Vardas498                Pavarde498                        9         6         5         7         7         5
Vardas499                Pavarde499                        3         9         9         4         8        10
Vardas500                Pavarde500                        8         3         4         6        10         8
Vardas501                Pavarde501                        7        10         2        10         3         9
Vardas502                Pavarde502                       10         7        10         6         7         9
Vardas503                Pavarde503                        7        10         1         6         2         6
Vardas504                Pavarde504                        1        10         5         8         3         2
Vardas505                Pavarde505                        7         9         1        10         1        10
Vardas506                Pavarde506                        9         9         6         4         1         1
Vardas507                Pavarde507                        2         1         4         6         1         6
Vardas508                Pavarde508                        3         9        10         6         4         5
Vardas509                Pavarde509                        7         3         4         5         1         7
Vardas510                Pavarde510                        1         2         3         8         3         9
Vardas511                Pavarde511                        8         6         7         4         4         5
Vardas512                Pavarde512                        8         8         3         3         4         5
Vardas513                Pavarde513                        7         4         2         1         8         1
Vardas514                Pavarde514                        2         7         9         2        10         9
Vardas515                Pavarde515                       10        10         9         2         7        10
Vardas516                Pavarde516                        9         4         1         1         9         3
Vardas517                Pavarde517                        3         7        10         4         6         2
Vardas518                Pavarde518                        8         1         2        10         5        10
Vardas519                Pavarde519                        2         6         8         7         7        10
Vardas520                Pavarde520                        9         5         8         8         7         6
Vardas521                Pavarde521                        3         9         1         6         9         2
Vardas522                Pavarde522                        8         9        10         9         2         3
Vardas523                Pavarde523                        3         9        10         5        10         1
Vardas524                Pavarde524                        6         9        10         1         5         4
Vardas525                Pavarde525                        6         1        10         6         2         6
Vardas526                Pavarde526                       10         3         9         9        10         6
Vardas527                Pavarde527                       10         2         1         7         4         8
Vardas528                Pavarde528                        2         4        10         6         6         7
Vardas529                Pavarde529                        3         5         7         3         9         2
Vardas530                Pavarde530                        6         7         2         9         9         3
Vardas531                Pavarde531                        1         2         5         5         9         3
