Vardas         Pavarde        Galutinis(Vid.)     
Vardas540      Pavarde540     2.80                
Vardas538      Pavarde538     3.93                
Vardas537      Pavarde537     2.47                
Vardas535      Pavarde535     3.53                
Vardas534      Pavarde534     4.00                
Vardas687      Pavarde687     2.73                
Vardas688      Pavarde688     3.47                
Vardas533      Pavarde533     3.60                
Vardas69       Pavarde69      1.80                
Vardas532      Pavarde532     2.87                
Vardas531      Pavarde531     4.40                
Vardas692      Pavarde692     2.60                
Vardas693      Pavarde693     2.73                
Vardas530      Pavarde530     4.67                
Vardas53       Pavarde53      4.87                
Vardas528      Pavarde528     2.73                
Vardas697      Pavarde697     4.40                
Vardas698      Pavarde698     2.73                
Vardas524      Pavarde524     2.80                
Vardas523      Pavarde523     2.67                
Vardas522      Pavarde522     3.87                
Vardas700      Pavarde700     4.27                
Vardas520      Pavarde520     4.00                
Vardas702      Pavarde702     3.20                
Vardas703      Pavarde703     2.40                
Vardas704      Pavarde704     4.00                
Vardas517      Pavarde517     2.00                
Vardas515      Pavarde515     2.47                
Vardas707      Pavarde707     3.53                
Vardas514      Pavarde514     3.33                
Vardas709      Pavarde709     2.60                
Vardas71       Pavarde71      3.40                
Vardas710      Pavarde710     4.33                
Vardas513      Pavarde513     2.40                
Vardas712      Pavarde712     2.13                
Vardas512      Pavarde512     4.13                
Vardas510      Pavarde510     3.07                
Vardas506      Pavarde506     1.67                
Vardas716      Pavarde716     2.80                
Vardas505      Pavarde505     4.13                
Vardas5        Pavarde5       4.13                
Vardas499      Pavarde499     4.47                
Vardas497      Pavarde497     2.60                
Vardas494      Pavarde494     3.27                
Vardas721      Pavarde721     3.20                
Vardas492      Pavarde492     2.73                
Vardas723      Pavarde723     3.87                
Vardas49       Pavarde49      4.93                
Vardas488      Pavarde488     3.07                
Vardas486      Pavarde486     2.67                
Vardas482      Pavarde482     4.53                
Vardas480      Pavarde480     2.67                
Vardas48       Pavarde48      3.13                
Vardas73       Pavarde73      2.93                
Vardas478      Pavarde478     2.47                
Vardas731      Pavarde731     4.53                
Vardas732      Pavarde732     2.87                
Vardas733      Pavarde733     3.13                
Vardas734      Pavarde734     4.67                
Vardas475      Pavarde475     3.33                
Vardas474      Pavarde474     3.60                
Vardas472      Pavarde472     3.47                
Vardas471      Pavarde471     4.27                
Vardas470      Pavarde470     4.13                
Vardas466      Pavarde466     2.60                
Vardas740      Pavarde740     3.13                
Vardas741      Pavarde741     2.47                
Vardas742      Pavarde742     4.93                
Vardas743      Pavarde743     3.80                
Vardas463      Pavarde463     3.07                
Vardas745      Pavarde745     4.07                
Vardas462      Pavarde462     4.40                
Vardas460      Pavarde460     4.40                
Vardas748      Pavarde748     4.80                
Vardas749      Pavarde749     4.33                
Vardas75       Pavarde75      3.07                
Vardas457      Pavarde457     3.67                
Vardas751      Pavarde751     2.13                
Vardas752      Pavarde752     3.33                
Vardas456      Pavarde456     3.20                
Vardas754      Pavarde754     3.33                
Vardas755      Pavarde755     4.47                
Vardas449      Pavarde449     2.93                
Vardas757      Pavarde757     3.13                
Vardas448      Pavarde448     4.73                
Vardas447      Pavarde447     2.40                
Vardas445      Pavarde445     2.40                
Vardas443      Pavarde443     4.73                
Vardas761      Pavarde761     2.47                
Vardas441      Pavarde441     3.20                
Vardas440      Pavarde440     4.47                
Vardas438      Pavarde438     2.27                
Vardas765      Pavarde765     4.73                
Vardas436      Pavarde436     2.87                
Vardas767      Pavarde767     4.00                
Vardas433      Pavarde433     4.13                
Vardas432      Pavarde432     2.33                
Vardas431      Pavarde431     3.00                
Vardas770      Pavarde770     4.93                
Vardas43       Pavarde43      4.13                
Vardas429      Pavarde429     4.87                
Vardas424      Pavarde424     4.87                
Vardas418      Pavarde418     2.33                
Vardas775      Pavarde775     2.00                
Vardas412      Pavarde412     2.20                
Vardas408      Pavarde408     4.27                
Vardas778      Pavarde778     2.53                
Vardas779      Pavarde779     4.93                
Vardas78       Pavarde78      2.93                
Vardas780      Pavarde780     4.60                
Vardas781      Pavarde781     2.53                
Vardas407      Pavarde407     1.93                
Vardas405      Pavarde405     4.80                
Vardas402      Pavarde402     2.60                
Vardas400      Pavarde400     2.13                
Vardas786      Pavarde786     4.60                
Vardas787      Pavarde787     1.87                
Vardas40       Pavarde40      3.00                
Vardas4        Pavarde4       2.00                
Vardas398      Pavarde398     4.93                
Vardas790      Pavarde790     3.73                
Vardas397      Pavarde397     3.20                
Vardas792      Pavarde792     4.13                
Vardas393      Pavarde393     4.27                
Vardas794      Pavarde794     4.13                
Vardas795      Pavarde795     3.47                
Vardas390      Pavarde390     3.07                
Vardas797      Pavarde797     2.53                
Vardas388      Pavarde388     4.33                
Vardas799      Pavarde799     3.73                
Vardas387      Pavarde387     4.33                
Vardas80       Pavarde80      3.73                
Vardas385      Pavarde385     3.20                
Vardas801      Pavarde801     3.27                
Vardas384      Pavarde384     2.53                
Vardas803      Pavarde803     2.87                
Vardas382      Pavarde382     2.47                
Vardas805      Pavarde805     2.07                
Vardas376      Pavarde376     3.33                
Vardas37       Pavarde37      2.67                
Vardas369      Pavarde369     2.60                
Vardas365      Pavarde365     4.87                
Vardas81       Pavarde81      4.00                
Vardas810      Pavarde810     4.87                
Vardas364      Pavarde364     2.87                
Vardas36       Pavarde36      3.33                
Vardas358      Pavarde358     3.67                
Vardas353      Pavarde353     4.73                
Vardas351      Pavarde351     4.60                
Vardas816      Pavarde816     2.93                
Vardas350      Pavarde350     2.60                
Vardas818      Pavarde818     3.27                
Vardas348      Pavarde348     4.73                
Vardas346      Pavarde346     3.40                
Vardas345      Pavarde345     4.33                
Vardas34       Pavarde34      2.33                
Vardas822      Pavarde822     4.73                
Vardas335      Pavarde335     3.13                
Vardas334      Pavarde334     4.60                
Vardas328      Pavarde328     3.53                
Vardas327      Pavarde327     3.87                
Vardas827      Pavarde827     4.33                
Vardas828      Pavarde828     4.00                
Vardas829      Pavarde829     1.87                
Vardas323      Pavarde323     4.67                
Vardas830      Pavarde830     4.87                
Vardas322      Pavarde322     4.20                
Vardas320      Pavarde320     4.40                
Vardas833      Pavarde833     2.13                
Vardas32       Pavarde32      4.20                
Vardas319      Pavarde319     3.47                
Vardas318      Pavarde318     3.40                
Vardas837      Pavarde837     2.13                
Vardas317      Pavarde317     2.13                
Vardas313      Pavarde313     2.00                
Vardas310      Pavarde310     2.40                
Vardas309      Pavarde309     4.27                
Vardas841      Pavarde841     2.60                
Vardas308      Pavarde308     4.33                
Vardas307      Pavarde307     4.07                
Vardas305      Pavarde305     4.00                
Vardas304      Pavarde304     2.13                
Vardas846      Pavarde846     2.73                
Vardas303      Pavarde303     3.00                
Vardas848      Pavarde848     4.73                
Vardas849      Pavarde849     4.20                
Vardas302      Pavarde302     4.60                
Vardas850      Pavarde850     2.73                
Vardas851      Pavarde851     4.40                
Vardas301      Pavarde301     3.33                
Vardas853      Pavarde853     4.33                
Vardas3        Pavarde3       4.47                
Vardas299      Pavarde299     4.27                
Vardas297      Pavarde297     2.47                
Vardas295      Pavarde295     2.60                
Vardas858      Pavarde858     4.33                
Vardas859      Pavarde859     3.20                
Vardas294      Pavarde294     4.80                
Vardas292      Pavarde292     2.40                
Vardas291      Pavarde291     3.60                
Vardas284      Pavarde284     2.67                
Vardas863      Pavarde863     2.00                
Vardas864      Pavarde864     3.07                
Vardas865      Pavarde865     3.07                
Vardas866      Pavarde866     4.80                
Vardas867      Pavarde867     4.07                
Vardas279      Pavarde279     3.00                
Vardas278      Pavarde278     4.60                
Vardas276      Pavarde276     3.60                
Vardas870      Pavarde870     2.73                
Vardas871      Pavarde871     3.20                
Vardas272      Pavarde272     4.67                
Vardas873      Pavarde873     4.93                
Vardas271      Pavarde271     3.20                
Vardas27       Pavarde27      4.27                
Vardas876      Pavarde876     2.87                
Vardas269      Pavarde269     4.27                
Vardas878      Pavarde878     2.93                
Vardas267      Pavarde267     4.73                
Vardas88       Pavarde88      4.33                
Vardas880      Pavarde880     2.93                
Vardas881      Pavarde881     2.07                
Vardas882      Pavarde882     3.27                
Vardas883      Pavarde883     3.67                
Vardas263      Pavarde263     2.80                
Vardas262      Pavarde262     4.87                
Vardas259      Pavarde259     4.87                
Vardas255      Pavarde255     3.73                
Vardas254      Pavarde254     2.53                
Vardas253      Pavarde253     3.80                
Vardas89       Pavarde89      4.27                
Vardas248      Pavarde248     4.93                
Vardas891      Pavarde891     2.27                
Vardas892      Pavarde892     2.13                
Vardas247      Pavarde247     2.53                
Vardas242      Pavarde242     4.80                
Vardas241      Pavarde241     3.80                
Vardas896      Pavarde896     2.27                
Vardas897      Pavarde897     3.40                
Vardas898      Pavarde898     4.27                
Vardas24       Pavarde24      3.33                
Vardas9        Pavarde9       4.87                
Vardas238      Pavarde238     2.33                
Vardas900      Pavarde900     2.67                
Vardas237      Pavarde237     3.13                
Vardas233      Pavarde233     3.00                
Vardas232      Pavarde232     3.00                
Vardas904      Pavarde904     4.60                
Vardas230      Pavarde230     3.27                
Vardas906      Pavarde906     3.67                
Vardas229      Pavarde229     4.53                
Vardas224      Pavarde224     2.73                
Vardas222      Pavarde222     3.53                
Vardas91       Pavarde91      4.00                
Vardas22       Pavarde22      2.07                
Vardas218      Pavarde218     4.80                
Vardas217      Pavarde217     4.33                
Vardas913      Pavarde913     2.33                
Vardas214      Pavarde214     2.07                
Vardas915      Pavarde915     2.13                
Vardas916      Pavarde916     4.07                
Vardas917      Pavarde917     3.33                
Vardas211      Pavarde211     3.13                
Vardas210      Pavarde210     4.87                
Vardas21       Pavarde21      4.80                
Vardas920      Pavarde920     3.27                
Vardas921      Pavarde921     3.07                
Vardas203      Pavarde203     2.40                
Vardas923      Pavarde923     2.93                
Vardas202      Pavarde202     1.67                
Vardas201      Pavarde201     4.67                
Vardas197      Pavarde197     3.33                
Vardas193      Pavarde193     4.73                
Vardas192      Pavarde192     3.87                
Vardas190      Pavarde190     3.20                
Vardas93       Pavarde93      4.73                
Vardas188      Pavarde188     4.27                
Vardas931      Pavarde931     4.20                
Vardas932      Pavarde932     4.93                
Vardas933      Pavarde933     4.53                
Vardas934      Pavarde934     3.00                
Vardas935      Pavarde935     4.67                
Vardas187      Pavarde187     2.87                
Vardas937      Pavarde937     2.67                
Vardas186      Pavarde186     3.20                
Vardas939      Pavarde939     4.80                
Vardas94       Pavarde94      3.80                
Vardas940      Pavarde940     2.40                
Vardas183      Pavarde183     2.93                
Vardas942      Pavarde942     4.87                
Vardas180      Pavarde180     2.33                
Vardas18       Pavarde18      4.67                
Vardas179      Pavarde179     3.47                
Vardas174      Pavarde174     3.93                
Vardas947      Pavarde947     4.07                
Vardas166      Pavarde166     4.53                
Vardas949      Pavarde949     4.47                
Vardas95       Pavarde95      3.20                
Vardas165      Pavarde165     2.80                
Vardas164      Pavarde164     3.13                
Vardas952      Pavarde952     2.20                
Vardas163      Pavarde163     4.47                
Vardas954      Pavarde954     2.60                
Vardas955      Pavarde955     4.67                
Vardas160      Pavarde160     3.47                
Vardas16       Pavarde16      2.40                
Vardas958      Pavarde958     4.93                
Vardas959      Pavarde959     3.40                
Vardas155      Pavarde155     3.67                
Vardas154      Pavarde154     3.93                
Vardas153      Pavarde153     4.87                
Vardas152      Pavarde152     3.93                
Vardas15       Pavarde15      4.13                
Vardas145      Pavarde145     3.20                
Vardas965      Pavarde965     3.07                
Vardas144      Pavarde144     1.87                
Vardas967      Pavarde967     2.47                
Vardas141      Pavarde141     4.20                
Vardas969      Pavarde969     2.40                
Vardas14       Pavarde14      3.60                
Vardas132      Pavarde132     4.33                
Vardas128      Pavarde128     4.40                
Vardas126      Pavarde126     2.87                
Vardas125      Pavarde125     3.47                
Vardas123      Pavarde123     4.07                
Vardas122      Pavarde122     3.33                
Vardas976      Pavarde976     4.00                
Vardas977      Pavarde977     1.80                
Vardas121      Pavarde121     2.80                
Vardas119      Pavarde119     3.27                
Vardas117      Pavarde117     2.00                
Vardas980      Pavarde980     3.47                
Vardas981      Pavarde981     1.93                
Vardas982      Pavarde982     2.80                
Vardas983      Pavarde983     4.93                
Vardas113      Pavarde113     2.47                
Vardas112      Pavarde112     3.33                
Vardas986      Pavarde986     2.40                
Vardas111      Pavarde111     4.20                
Vardas988      Pavarde988     1.60                
Vardas105      Pavarde105     2.80                
Vardas99       Pavarde99      2.07                
Vardas990      Pavarde990     3.60                
Vardas104      Pavarde104     2.40                
Vardas992      Pavarde992     4.87                
Vardas103      Pavarde103     4.20                
Vardas994      Pavarde994     3.80                
Vardas101      Pavarde101     2.93                
Vardas996      Pavarde996     3.07                
Vardas997      Pavarde997     2.33                
Vardas10       Pavarde10      3.13                
Vardas999      Pavarde999     2.13                
